animalLabel,animalDescription,speciesLabel,estudioLabel
Magourna Reject,,perro,cinología
Pigalle Wonder,Racing greyhound,perro,cinología
Olivia,dog,perro,cinología
Izzy The Frenchie,Bulldog,perro,cinología
Freddy,formerly world’s tallest living dog,perro,cinología
Auditor,feral dog who lived near the Berkeley mining pit in Montana (died 2003),perro,cinología
Kuma von Clifford,dog actor,perro,cinología
Perrovaca,"Perro, mascota de la Universidad Nacional Mayor de San Marcos de Perú.",perro,cinología
Armaduk,dog of Ambrogio Fogar,perro,cinología
Chase,personaje de ficción,perro,cinología
Phoenix (dog),Australian Kelpie film actor,perro,cinología
Crusoe the Dachshund,internet celebrity,perro,cinología
Enzo,Canine actor,perro,cinología
Moonie,canine actor known for the Legally Blonde franchise,perro,cinología
Q65161097,,perro,cinología
Jiff Pom,perro tiktoker,perro,cinología
Fred,actor animal,perro,cinología
Andromeda Galaktika,"Wiki Dog, jack russell terrier, belonging to user:ssr among with some more people",perro,cinología
Masaru,,perro,cinología
Burly Bear Pom,Burly Bear the Pomeranian,perro,cinología
Sumo,,perro,cinología
Negro Matapacos,perro chileno,perro,cinología
Q77260689,,perro,cinología
Dilyn,UK Prime Minister's dog,perro,cinología
Dinero,dog,perro,cinología
Graf Shuts Khund,,perro,cinología
Mushka,perro puesto en orbita con el sputnik 6,perro,cinología
Néro,dog,perro,cinología
Thunder the Dog,,perro,cinología
Poupeto,Yorkshire Terrier dog who lived in the 1980s,perro,cinología
Zoe,dog actor,perro,cinología
Wasao,,perro,cinología
Bailey,Golden retriever owned by Elizabeth Warren,perro,cinología
Schottzie,dog owned by American baseball team owner Marge Schott,perro,cinología
Dylan,Collie de pelo largo de Alberto Fernández,perro,cinología
Max II,"Mayor of Idyllwild, California",perro,cinología
Perrijo,perro que convive en una familia como si fuera un hijo biológico o adoptado,perro,cinología
Ringo,perro estadounidense,perro,cinología
Jumpy,,perro,cinología
Popeye,,perro,cinología
Brigitte the Dog,,perro,cinología
Kuma,,perro,cinología
Dash,,perro,cinología
Juno,,perro,cinología
Edda,dog,perro,cinología
Tarzán,"dog that symbolizes Asp, Spain",perro,cinología
Ned the Dog,actor,perro,cinología
Kratu,Romanian rescue dog,perro,cinología
Mabrouk,"dog, mascot of the show 30 million friends",perro,cinología
Jasper,Old English Sheepdog,perro,cinología
Max,Order of Merit award winning dog,perro,cinología
Peter the Great,,perro,cinología
Leuk,war dog of the French Armed Forces,perro,cinología
Honey Tree Evil Eye,dog that portrayed Bud Light mascot Spuds MacKenzie,perro,cinología
Ajax,Kea conservation dog,perro,cinología
Hanamaru,Dog,perro,cinología
Gipsy,,perro,cinología
Toby,Dog,perro,cinología
Major,American presidential pet,perro,cinología
Bliaud,"legendary dog who probably gave his name to Fontainebleau, France",perro,cinología
Sarail hound,Dog breeds originating in Bangladesh,perro,cinología
Pete,"Theodore Roosevelt's dog, died 1910",perro,cinología
Boji,"dog (fl. 2021), known for regularly riding on public transport in Istanbul, Turkey",perro,cinología
Q109018451,,perro,cinología
Médor,,perro,cinología
Punch,dog,perro,cinología
Judy,dog,perro,cinología
Joe the Dog,actor,perro,cinología
Rue,dog of Abbey Wilson (born 2020),perro,cinología
Commander,pet dog owned by the Biden family,perro,cinología
Brownie,perro chileno del presidente electo Gabriel Boric,perro,cinología
Gnipper,Son of Gnasher,perro,cinología
Q110652444,,perro,cinología
Finnegan Horowitz Shea,dog,perro,cinología
Pulya,Ukrainian dog,perro,cinología
Dina ze Štítenských hor,,perro,cinología
Paris,Dog,perro,cinología
CC,cloned cat,gato doméstico,felinology
Muezza,el gato de Mahoma,gato doméstico,felinology
Orangey,gato,gato doméstico,felinology
Mrs. Chippy,gato que acompañó a Sir Ernest Shackleton en la Expedición Imperial Trans-artártica,gato doméstico,felinology
Sam el insumergible,gato de un barco alemán que al parecer prestó servicio en la Marina Real británica y la Kriegsmarine alemana durante la Segunda Guerra Mundial,gato doméstico,felinology
Catmando,cat who served as joint leader of Britain's Official Monster Raving Loony Party (OMRLP),gato doméstico,felinology
Tama,"cat that lived at Kishi Station in Wakayama Prefecture, Japan",gato doméstico,felinology
Dewey Readmore Books,"resident cat at the Spencer Public Library in Spencer, Iowa, US",gato doméstico,felinology
Socks,gato de Bill Clinton y de su familia,gato doméstico,felinology
F. D. C. Willard,gato,gato doméstico,felinology
Nora,American cat famous for playing the piano,gato doméstico,felinology
Hodge,Samuel Johnson's cat,gato doméstico,felinology
Humphrey,ninth Chief Mouser to the Cabinet Office,gato doméstico,felinology
Towser,house cat of the Scottish whiskey distillery Glenturret,gato doméstico,felinology
Wilberforce,gato,gato doméstico,felinology
India,cat owned by USA presidential Bush family,gato doméstico,felinology
Simon,ship's cat on HMS Amethyst,gato doméstico,felinology
Winnie,supposed big cat sighted in the Veluwe region of the Netherlands,gato doméstico,felinology
Creme Puff,El gato más viejo del mundo,gato doméstico,felinology
Sybil,tenth Chief Mouser to the Cabinet Office,gato doméstico,felinology
Maru,gato japonés famoso en YouTube,gato doméstico,felinology
Mr. Green Genes,gato modificado genéticamente,gato doméstico,felinology
Scarlett,Stray cat known for saving her kittens from a fire,gato doméstico,felinology
Casper,cat from Plymouth that commuted by bus,gato doméstico,felinology
Choupette,pet cat of Karl Lagerfeld,gato doméstico,felinology
Dusty the Klepto Kitty,domestic cat known for his habit of burglary,gato doméstico,felinology
Fred the Undercover Kitty,domestic shorthaired cat,gato doméstico,felinology
Freya,"twelveth Chief Mouser to the Cabinet Office, conjointly with Larry",gato doméstico,felinology
Henri,"cat who stars in the web series Henri, le Chat Noir",gato doméstico,felinology
Little Nicky,cloned cat,gato doméstico,felinology
Luna the Fashion Kitty,Himalayan cat with a Facebook page,gato doméstico,felinology
Meow,"domestic cat, famous for his heavy weight",gato doméstico,felinology
Mike,famous cat who guarded the gates of the British Museum,gato doméstico,felinology
Mr. Nuts,spokescat for pet accessories manufacturer Five Pet Place,gato doméstico,felinology
Oscar,bionic cat,gato doméstico,felinology
"Peter, the Lord's cat",cat who lived at Lord's Cricket Ground in London,gato doméstico,felinology
Prince Chunk,"domestic shorthair cat, known for his heavy weight",gato doméstico,felinology
Room 8,"school cat from Echo Park, California",gato doméstico,felinology
Rusik,Russian police sniffer cat,gato doméstico,felinology
Scarlett's Magic,formerly world's tallest living domestic cat,gato doméstico,felinology
Sockington,domestic cat with large Twitter following,gato doméstico,felinology
Stubbs,gato estadounidense (1997-2017),gato doméstico,felinology
Grumpy Cat,"Gata, meme y celebridad de internet",gato doméstico,felinology
Tiddles,"cat known to live in the ladies' room at Paddington Station, in London",gato doméstico,felinology
Shironeko,cat and Internet meme celebrity,gato doméstico,felinology
Panther,cat from the series Early Edition,gato doméstico,felinology
Willow,cat known for traveling 1800 miles,gato doméstico,felinology
Tsim Tung Brother Cream,cat,gato doméstico,felinology
Misuke,cat,gato doméstico,felinology
Emily,cat,gato doméstico,felinology
Nora,cat in Japan,gato doméstico,felinology
Kotora,cat,gato doméstico,felinology
Pungsan,breed of hunting dog from North Korea,raza de perro,
Spaniel de campo,raza de perro originaria del Reino Unido,raza de perro,
Sapsali,Korean dog breed,raza de perro,
perro finlandés de Laponia,raza de perro originaria de Finlandia,raza de perro,
spitz finlandés,raza de perro originaria de Finlandia,raza de perro,
Perro cobrador de cubierta lisa,raza de perro originaria del Reino Unido,raza de perro,
Perro de montaña de Formosa,raza de perro,raza de perro,
Telomian,dog breed,raza de perro,
American Staghound,dog breed,raza de perro,
Beagle-Harrier,raza de perro originaria de Francia,raza de perro,
Mittelgroβer Anglo-Französischer Laufhund,raza de perro originaria de Francia,raza de perro,
Sabueso del Ariège,raza de perro originaria de Francia,raza de perro,
Alapaha Blue Blood Bulldog,dog breed,raza de perro,
Bernese hound,raza de perro europea,raza de perro,
Antiguo perro de muestra danés,raza de perro originaria de Dinamarca,raza de perro,
Dachsbracke de los Alpes,raza de perro europea,raza de perro,
Pastor australiano Stumpy Tail,raza de perro,raza de perro,
Terrier americano sin pelo,una raza poco común de perro,raza de perro,
fox terrier ratonero,raza de perro,raza de perro,
Foxhound americano,raza de perro de caza,raza de perro,
Kelpie Australiano,raza de perro de pastoreo originario de Australia,raza de perro,
Silky terrier australiano,raza de perro,raza de perro,
Terrier de Australia,raza de perro,raza de perro,
Akita Americano,raza de perro,raza de perro,
Black and tan coonhound,Raza de sabuesos criada para la caza de mapache.,raza de perro,
Pastor de Anatolia,raza de perro originaria de Turquía,raza de perro,
Bisben,antigua raza de perro pastor,raza de perro,
Boston terrier,raza canina,raza de perro,
Basset azul de Gascuña,raza de perro originaria de Francia,raza de perro,
Border terrier,raza de perro originaria del Reino Unido,raza de perro,
Basset artesiano de Normandía,raza de perro originaria de Francia,raza de perro,
Bichón boloñés,raza de perro originaria de Italia,raza de perro,
Bluetick coonhound,raza de perro de caza,raza de perro,
Basset leonado de Bretaña,raza de perro originaria de Francia,raza de perro,
Perro majorero,raza de perro de España,raza de perro,
Sabueso serbio,raza de perro originaria de Serbia,raza de perro,
Biewer Terrier,raza de perro europea,raza de perro,
Sabueso bávaro de montaña,raza de perro de Alemania,raza de perro,
Inglés Americano Coonhound,raza canina originaria del Sur de Estados Unidos,raza de perro,
Blue Lacy,dog breed,raza de perro,
Bedlington terrier,raza de perro originaria del Reino Unido,raza de perro,
Barbet,raza de perro originaria de Francia,raza de perro,
Boerboel,raza de perro,raza de perro,
pastor ganadero australiano,raza de perro,raza de perro,
bichon frisé,raza de perro de España y Bélgica,raza de perro,
bulldog americano,raza de perro,raza de perro,
Boyero de Berna,raza de perro originaria de Suiza,raza de perro,
pit bull terrier americano,raza de perro,raza de perro,
Airedale terrier,raza de perro originaria del Reino Unido,raza de perro,
Collie barbudo,raza de perro originaria del Reino Unido,raza de perro,
pastor belga,raza de perro originaria de Bélgica,raza de perro,
Pastor ovejero australiano,raza de perro de pastoreo que se desarrolló en los ranchos en el Oeste de los Estados Unidos,raza de perro,
Braco de Borbón,raza de perro originaria de Francia,raza de perro,
Berger Picard,raza de perro originaria de Francia,raza de perro,
Billy,raza de perro originaria de Francia,raza de perro,
Perro cimarrón uruguayo,raza de perro,raza de perro,
Briquet Griffon Vendéen,raza de perro europea,raza de perro,
Perro de pastor mallorquín,raza de perro,raza de perro,
sabueso de Dunker,raza de perro originaria de Noruega,raza de perro,
Bakharwal,raza de perro de trabajo,raza de perro,
Braco de Puy,raza de perro originaria de Francia,raza de perro,
Braco de Saint Germain,raza de perro originaria de Francia,raza de perro,
Ratero mallorquin,raza de perro de España,raza de perro,
Braco de Ariège,raza de perro originaria de Francia,raza de perro,
Cesky Fousek,dog breed,raza de perro,
Chippiparai,dog breed,raza de perro,
Mudhol Hound,dog breed,raza de perro,
Chongqing perro chino,dog breed,raza de perro,
Perro dogo mallorquín,raza de perro de España,raza de perro,
