imagen,video,audio,animalLabel
http://commons.wikimedia.org/wiki/Special:FilePath/20190727-DSC00957%20%2848391674722%29.jpg,,,Bailey
,,,Schottzie
http://commons.wikimedia.org/wiki/Special:FilePath/Dylan%20%28perro%29.jpg,,,Dylan
,,,Max II
,,,Perrijo
,,,Ringo
,,,Jumpy
,,,Popeye
,,,Brigitte the Dog
,,,Kuma
,,,Dash
,,,Juno
,,,Edda
,,,Tarzán
,,,Ned the Dog
http://commons.wikimedia.org/wiki/Special:FilePath/Kratu%202020.jpg,,,Kratu
,,,Mabrouk
,,,Jasper
,,,Max
http://commons.wikimedia.org/wiki/Special:FilePath/Wild%20Justice%20poster.jpg,,,Peter the Great
,,,Leuk
,,,Honey Tree Evil Eye
,,,Ajax
,,,Hanamaru
,,,Gipsy
,,,Toby
,,,Major
,,,Bliaud
http://commons.wikimedia.org/wiki/Special:FilePath/Sarail%20Hound%20dog.jpg,,,Sarail hound
,,,Pete
http://commons.wikimedia.org/wiki/Special:FilePath/%C4%B0stanbul%27da%20gezilmeyen%20yer%20b%C4%B1rakmayan%20Boji.jpg,,,Boji
,,,Q109018451
http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%A9dor%20le%20chien%20fid%C3%A8le%20LCCN2003665071.jpg,,,Médor
,,,Punch
,,,Judy
,,,Joe the Dog
,,,Rue
http://commons.wikimedia.org/wiki/Special:FilePath/Commander%20%28Biden%20dog%29%20in%20February%202022.jpg,,,Commander
,,,Brownie
,,,Gnipper
,,,Q110652444
,,,Finnegan Horowitz Shea
,,,Pulya
http://commons.wikimedia.org/wiki/Special:FilePath/Ccandowner2003.jpg,,,CC
,,,Muezza
http://commons.wikimedia.org/wiki/Special:FilePath/Orangey%20with%20Audrey%20Hepburn%20in%20Breakfast%20at%20Tiffanys.jpg,,,Orangey
http://commons.wikimedia.org/wiki/Special:FilePath/Mrschippy2.png,,,Mrs. Chippy
http://commons.wikimedia.org/wiki/Special:FilePath/Unsinkable%20Sam%20portrait.jpg,,,Sam el insumergible
,,,Catmando
http://commons.wikimedia.org/wiki/Special:FilePath/Station-Master%20Tama.JPG,,,Tama
,,,Dewey Readmore Books
http://commons.wikimedia.org/wiki/Special:FilePath/Socks%20the%20Cat%20Explores.jpg,,,Socks
,,,F. D. C. Willard
http://commons.wikimedia.org/wiki/Special:FilePath/NoraPianoCat.jpg,,,Nora
http://commons.wikimedia.org/wiki/Special:FilePath/Hodgecat%20flickr.jpg,,,Hodge
,,,Humphrey
,,,Towser
,,,Wilberforce
http://commons.wikimedia.org/wiki/Special:FilePath/India%20the%20Cat%20Miss%20Beazley%20and%20Barney%20Halloween%202007%20%28cropped%29.jpg,,,India
http://commons.wikimedia.org/wiki/Special:FilePath/IndioCat.jpg,,,India
http://commons.wikimedia.org/wiki/Special:FilePath/WhiteHousePets%2C%20ValentinesDay2007.jpg,,,India
,,,Simon
,,,Winnie
,,,Creme Puff
,,,Sybil
,,,Maru
,,,Mr. Green Genes
http://commons.wikimedia.org/wiki/Special:FilePath/ScarlettTheCat.jpg,,,Scarlett
,,,Casper
,,,Choupette
,,,Dusty the Klepto Kitty
,,,Fred the Undercover Kitty
http://commons.wikimedia.org/wiki/Special:FilePath/Freya%20the%20cat-20120615%20132253%20%28cropped%29.jpg,,,Freya
,,,Henri
,,,Little Nicky
,,,Luna the Fashion Kitty
,,,Meow
,,,Mike
http://commons.wikimedia.org/wiki/Special:FilePath/Mr%20Nuts%20Executive%20Portrait.jpg,,,Mr. Nuts
,,,Oscar
,,,"Peter, the Lord's cat"
,,,Prince Chunk
,,,Room 8
,,,Rusik
http://commons.wikimedia.org/wiki/Special:FilePath/Guinness%20Cat%206.jpg,,,Scarlett's Magic
http://commons.wikimedia.org/wiki/Special:FilePath/Sockington%20from%20above.jpg,,,Sockington
http://commons.wikimedia.org/wiki/Special:FilePath/Mayor%20Stubbs.jpg,,,Stubbs
http://commons.wikimedia.org/wiki/Special:FilePath/Grumpy%20Cat%20%2814556024763%29%20%28cropped%29.jpg,,,Grumpy Cat
,,,Tiddles
,,,Shironeko
,,,Panther
,,,Willow
http://commons.wikimedia.org/wiki/Special:FilePath/Brother%20cream%20in%20stall.jpg,,,Tsim Tung Brother Cream
,,,Misuke
,,,Emily
http://commons.wikimedia.org/wiki/Special:FilePath/%E3%82%AA%E3%82%B7%E3%83%B3%E3%82%B3%E3%82%B7%E3%83%B3%E3%81%AE%E6%BB%9D%E3%81%AE%E7%8C%AB%E3%81%AE%E6%98%BC%E5%AF%9D.jpg,,,Nora
,,,Kotora
,,,Taylors Sky
http://commons.wikimedia.org/wiki/Special:FilePath/Judy%20Garland%20Over%20the%20Rainbow%202.jpg,,,Terry (perro)
,,,Theo
,,,Tich
,,,Tickle Em Jock
,,,Tillamook Cheddar
http://commons.wikimedia.org/wiki/Special:FilePath/Tillman%20the%20dog.jpg,,,Tillman
http://commons.wikimedia.org/wiki/Special:FilePath/Titan%20and%20Diana%20Taylor.jpg,,,Titan
,,,Toppy
,,,Topscore Contradiction
,,,Torums Scarf Michael
,,,Tracey Witch of Ware
,,,Trakr
,,,Treo
,,,Tyson
,,,Vbos The Kentuckian
,,,Velvet
,,,Westmead Hawk
,,,Willie Bean
,,,Yakee A Dangerous Liaison
,,,Zeltim Odie Peterson
,,,Zentarr Elizabeth
,,,Zeus
,,,Zorba
http://commons.wikimedia.org/wiki/Special:FilePath/Nevado%20%26%20Tinjaca%20Simon%20Bolivar%27s%20companions.jpg,,,Nevado
,,,Yoda: use the power
,,,Q11265315
,,,Q11272045
,,,Masao
,,,Kai-kun
,,,Q11307021
,,,Cynthia
,,,Q11315153
,,,Champy
,,,Pittenweem Terrier
,,,Heiji
,,,Q11491334
,,,Sà pǔ
,,,Junpei
,,,Aku
,,,Tasha
,,,My Own Brucie
http://commons.wikimedia.org/wiki/Special:FilePath/Owney%20with%20tags.jpg,,,Owney
,,,Jed
,,,Q12583263
,,,Returned Baekgu
,,,Sanggeun
,,,Deny
,,,Reginald von Ravenhorst
,,,Max
,,,Master McGrath
http://commons.wikimedia.org/wiki/Special:FilePath/Couperus%20en%20Brinio%20in%20de%20tuin%20van%20Van%20Leeuwen%20achter%20het%20Noordeinde.jpg,,,Brinio
,,,Higgins
,,,Bob
,,,Agata
,,,Barberryhill Bootlegger
,,,Heart-kun
http://commons.wikimedia.org/wiki/Special:FilePath/Bosco%20the%20Dog%20Mayor%20of%20Sunol.jpg,,,Bosco the dog
,,,Bing
,,,Cell dog
,,,Lucky
,,,Rex
,,,Thorn (dog)
,,,Brownie the Wonder Dog
,,,Loteki Supernatural Being
,,,Sasha
,,,Governor Moscow
,,,Rancho Dobe's Storm
,,,Shieling's Signature
,,,Signal Circuit of Halleston
,,,Tucker
,,,Sidaz Jack
,,,Manny the Frenchie
,,,Toby Rimes
,,,Juliana
,,,Mr. Winkle
,,,Philly
,,,Q17192313
,,,Q17232464
,,,Shep (Thanhauser Collie)
,,,Happy
,,,Q17991489
,,,Mutant Giant Spider Dog
,,,Lupo
,,,Q18233672
http://commons.wikimedia.org/wiki/Special:FilePath/Star%20the%20Dog.jpg,,,Star
http://commons.wikimedia.org/wiki/Special:FilePath/Rus-Stamp-Zvezdochka-1961.jpg,,,Zvyozdochka
http://commons.wikimedia.org/wiki/Special:FilePath/Bummer.jpg,,,Bummer
http://commons.wikimedia.org/wiki/Special:FilePath/Dog%20Lazarus.jpg,,,Lazarus
,,,Special Times Just Right
,,,Duke the Dog
,,,Puppy
,,,Coloma
,,,Lux
,,,Fufu
,,,Choo-tai of Egham
http://commons.wikimedia.org/wiki/Special:FilePath/Sallie%20Ann%20Jarrett%2C%20Civil%20War%20mascot.jpg,,,Sallie Ann Jarrett
,,,Marnie
,,,McVan's To Russia With Love
,,,Milly
,,,Snowy
,,,Surf Dog Ricochet
http://commons.wikimedia.org/wiki/Special:FilePath/Tuna%20Melts%20My%20Heart.jpg,,,Tuna
,,,Arthur (perro)
,,,Darla
http://commons.wikimedia.org/wiki/Special:FilePath/Doug%20the%20Pug%20NYC.jpg,,,Doug the Pug
,,,Zuyaqui
,,,Q21657916
,,,Diesel
,,,Teddy (perro)
,,,K9 Killer
,,,Angel
,,,Kabosu
,,,Dianka
,,,Napel
,,,Mumu
,,,Baxter
,,,Nigel
http://commons.wikimedia.org/wiki/Special:FilePath/Moudouken%20aroma.jpg,,,Q24876723
http://commons.wikimedia.org/wiki/Special:FilePath/Rob%20Roy%20%28dog%29.jpg,,,Rob Roy
,,,Norbert
,,,Fidèle
,,,Bella
,,,Chiro
http://commons.wikimedia.org/wiki/Special:FilePath/Vladimir%20Putin%20and%20Yume%20%282016-12-13%29%2001.jpg,,,Yume
http://commons.wikimedia.org/wiki/Special:FilePath/Shibainu%20Maru.jpg,,,Q27920551
,,,Bretagne
,,,Fernando Bale
,,,Burneze Geordie Girl
,,,Carlos
http://commons.wikimedia.org/wiki/Special:FilePath/Dion%20and%20Gobi.jpg,,,Gobi
,,,Clément
,,,Bogus
http://commons.wikimedia.org/wiki/Special:FilePath/Pecas%20en%20Collado%20Villalba.jpg,,,Pecas
,,,Biche
http://commons.wikimedia.org/wiki/Special:FilePath/Willie-Patton-LIFE-1944.jpg,,,Willie
,,,Q30936877
,,,Alcmène
http://commons.wikimedia.org/wiki/Special:FilePath/William%20Hogarth%20self-portrait%201745%20Tate%20Britain%20Detail%20Pug.jpg,,,Trump
http://commons.wikimedia.org/wiki/Special:FilePath/Nankyokuchiiki-kansoku-50.jpg,,,Taro
http://commons.wikimedia.org/wiki/Special:FilePath/Nankyokuchiiki-kansoku-50.jpg,,,Jiro
,,,Nemo
,,,Jet
,,,Spanish Battleship
,,,Luke the Dog
,,,Winston
,,,Paisley
,,,Manly Ortega
,,,Lennu
,,,Susie Williams
,,,Candy Williams
,,,Pochi
,,,Patricias Hope
,,,Gidget
,,,Naoji
,,,Ranger
,,,Lucky
,,,Chico
,,,Help
http://commons.wikimedia.org/wiki/Special:FilePath/Bardo%20National%20Museum%20attack%20Memorial%20Mosaic%2001.jpg,,,Akil
,,,Giro
http://commons.wikimedia.org/wiki/Special:FilePath/Raigad%20Sivaji%27s%20Waghya%20Samadhi%2001.JPG,,,Waghya
,,,Matisse
,,,The Very Old
,,,Riley
http://commons.wikimedia.org/wiki/Special:FilePath/Sculpture%20of%20Brave%20Dog%20Bunchan%20-%20Otaru%20-%20Hokkaido%20-%20Japan%20%2847984518556%29.jpg,,,Bunkou
http://commons.wikimedia.org/wiki/Special:FilePath/Lampo%2C%20the%20traveling%20dog%20%281%29.jpg,,,Lampo
http://commons.wikimedia.org/wiki/Special:FilePath/Tinkerbelle%20the%20Dog.png,,,Tinkerbelle
,,,Frida
,,,Trip Hazard
,,,Fricka
,,,Magourna Reject
,,,Pigalle Wonder
,,,Olivia
,,,Izzy The Frenchie
,,,Freddy
,,,Auditor
,,,Kuma von Clifford
http://commons.wikimedia.org/wiki/Special:FilePath/Perrovaca%20UNMSM.jpg,,,Perrovaca
,,,Armaduk
,,,Chase
http://commons.wikimedia.org/wiki/Special:FilePath/Nelson-Woss.jpg,,,Phoenix (dog)
,,,Crusoe the Dachshund
,,,Enzo
,,,Moonie
,,,Q65161097
,,,Jiff Pom
,,,Fred
http://commons.wikimedia.org/wiki/Special:FilePath/%D0%92%D0%B8%D0%BA%D0%B8-%D1%8D%D0%BA%D1%81%D0%BA%D1%83%D1%80%D1%81%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D1%83%2010%20%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%B0%202019%20%284%29.jpg,,,Andromeda Galaktika
http://commons.wikimedia.org/wiki/Special:FilePath/Shinz%C5%8D%20Abe%20and%20Alina%20Zagitova%20%282018-05-26%29.jpg,,,Masaru
,,,Burly Bear Pom
,,,Sumo
http://commons.wikimedia.org/wiki/Special:FilePath/Negro%20Matapacos%2C%20Plaza%20Brasil%2C%20Santiago%2020200128%2008.jpg,,,Negro Matapacos
,,,Q77260689
,,,Dilyn
,,,Dinero
,,,Graf Shuts Khund
,,,Mushka
http://commons.wikimedia.org/wiki/Special:FilePath/DetailofTheImperialPrinceandhisdogNerobyJean-BaptisteCarpeaux1865MarbleMuseed%27Orsaymharrsch.jpg,,,Néro
http://commons.wikimedia.org/wiki/Special:FilePath/Photograph%20of%20Thunder%2C%20dog%20star%20of%20the%20silent%20era%2C.jpeg,,,Thunder the Dog
,,,Abuwtiyuw
http://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv%20B%20145%20Bild-F051673-0059%2C%20Adolf%20Hitler%20und%20Blondi%20auf%20dem%20Berghof%20%28cropped%29.jpg,,,Blondi
http://commons.wikimedia.org/wiki/Special:FilePath/Hachiko.JPG,,,Hachikō
,,,Pickles
http://commons.wikimedia.org/wiki/Special:FilePath/Sculpture%20mancsdog%20miskolc.jpg,,,Mancs
,,,Enzo
,,,Snuppy
http://commons.wikimedia.org/wiki/Special:FilePath/Red%20Dog%20Statue%20Front%20View.jpg,,,Red Dog
http://commons.wikimedia.org/wiki/Special:FilePath/Sergeant%20Stubby.jpg,,,Sergeant Stubby
http://commons.wikimedia.org/wiki/Special:FilePath/Strongheart-Rice-1921-cropped.jpg,,,Strongheart
http://commons.wikimedia.org/wiki/Special:FilePath/Gunnar%20Kaasen%20with%20Balto.jpg,,,Balto
,,,Barry
,,,Jackie
http://commons.wikimedia.org/wiki/Special:FilePath/Justnuisance.png,,,Just Nuisance
http://commons.wikimedia.org/wiki/Special:FilePath/Buddy%20Clinton%20dog.jpg,,,Buddy
http://commons.wikimedia.org/wiki/Special:FilePath/James%20Ward%20-%20Portrait%20of%20Dash%2C%20a%20Favourite%20Spaniel%2C%20the%20Property%20of%20Lady%20Frances%20Vane-Tempest%20-%20Google%20Art%20Project.jpg,,,Dash (perro)
,,,Roland
http://commons.wikimedia.org/wiki/Special:FilePath/Koni%20crop.jpg,,,Koni
http://commons.wikimedia.org/wiki/Special:FilePath/Greyfriars-bobby-edin.jpg,,,Greyfriars Bobby
http://commons.wikimedia.org/wiki/Special:FilePath/FDR-Fala-1940-crop.jpg,,,Fala
,,,Perro de Burlage
http://commons.wikimedia.org/wiki/Special:FilePath/Rin%20Tin%20Tin%201929.JPG,,,Rin Tin Tin
http://commons.wikimedia.org/wiki/Special:FilePath/St%20Guinefort.jpg,,,San Guinefort
,,,Lump
,,,Uggie
http://commons.wikimedia.org/wiki/Special:FilePath/OriginalNipper.jpg,,,Nipper
http://commons.wikimedia.org/wiki/Special:FilePath/RCA%20Nipper.jpg,,,Nipper
,,,Pompey
,,,Tinkerbell
,,,Melampus
,,,Boris
,,,Püppi
http://commons.wikimedia.org/wiki/Special:FilePath/Rubia%20auf%20Aconcagua.jpg,,,Rubia
,,,Loulou
http://commons.wikimedia.org/wiki/Special:FilePath/Miss%20Beazley.jpg,,,Miss Beazley
http://commons.wikimedia.org/wiki/Special:FilePath/Louk%20dog%20attacked%20by%20mat.jpg,,,Loukanikos
,,,Ricky
http://commons.wikimedia.org/wiki/Special:FilePath/Faith%20the%20biped%20dog%20%282422125130%29%20%283%29.jpg,,,Faith
,,,Malchik
,,,Baltique
http://commons.wikimedia.org/wiki/Special:FilePath/Dog%20Bluey.jpg,,,Bluey
http://commons.wikimedia.org/wiki/Special:FilePath/Buccleuch%20Avon%20%281885%29.png,,,Buccleuch Avon
http://commons.wikimedia.org/wiki/Special:FilePath/Barney-20040908.jpg,,,Barney
http://commons.wikimedia.org/wiki/Special:FilePath/Bamsestatue%20Honningsvag.jpg,,,Bamse
,,,Péritas
,,,Saucisse
,,,Madison
http://commons.wikimedia.org/wiki/Special:FilePath/Koko-dog.jpg,,,Koko
,,,Blair
,,,Koton
http://commons.wikimedia.org/wiki/Special:FilePath/Piazza%20Dante%20e%20Monumento%20a%20Fido.jpg,,,Fido
,,,Vitagraph Dog
,,,Rags
http://commons.wikimedia.org/wiki/Special:FilePath/ShepDogFortBenton.jpg,,,Shep
,,,Dik
,,,Giant George
,,,Zemira
,,,Q4258705
,,,Wheely Willy
http://commons.wikimedia.org/wiki/Special:FilePath/Millie%20%28dog%29.jpg,,,Millie
,,,Puggy
http://commons.wikimedia.org/wiki/Special:FilePath/Fido%20the%20dog.jpg,,,Fido
http://commons.wikimedia.org/wiki/Special:FilePath/Ace%20The%20Wonder%20Dog.jpg,,,Ace el perro maravilla
,,,Alex the Dog
,,,Ana
,,,Anna
,,,Appollo
,,,Araki Fabulous Willy
,,,Ballyregan Bob
,,,Banana Joe V Tani Kazari
,,,Beauty
,,,Betsy
,,,Blue
,,,Bob the Railway Dog
,,,Bobbie
,,,Bobbie the Wonder Dog
,,,Boo Boo
,,,Boxwood Barkentine
http://commons.wikimedia.org/wiki/Special:FilePath/Wenceslas%20Hollar%20-%20A%20poodle%2C%20after%20Matham.jpg,,,Boye
,,,Briergate Bright Beauty
,,,Brigitte
http://commons.wikimedia.org/wiki/Special:FilePath/Buffy%20dog.jpeg,,,Buffy
http://commons.wikimedia.org/wiki/Special:FilePath/Target%20dog.jpg,,,Bullseye
,,,Buster
,,,Buster
http://commons.wikimedia.org/wiki/Special:FilePath/Butler%20Blue%20II.jpg,,,Butler Blue
http://commons.wikimedia.org/wiki/Special:FilePath/Caesar%20the%20Kings%20Dog.jpg,,,Caesar
,,,Canigou Cambrai
,,,Chalky
,,,Chanel
http://commons.wikimedia.org/wiki/Special:FilePath/Chaser%20the%20BC%2C%20snow%20full%20body.jpg,,,Chaser
,,,Cheeka
,,,Cheeseface
http://commons.wikimedia.org/wiki/Special:FilePath/Chips%20the%20war%20dog%20%2837223130705%29.png,,,Chips
,,,Conejo Wycollar Boy
,,,Cosmo
,,,Count Noble
http://commons.wikimedia.org/wiki/Special:FilePath/AuldHemp.jpg,,,Old Hemp
,,,Crumstone Irma
,,,Daddy
,,,Cavan
,,,Caveat
,,,Cedric
,,,Celeric
,,,Celtic Arms
,,,Celtic Ash
http://commons.wikimedia.org/wiki/Special:FilePath/Celtic%20Swing.JPG,,,Celtic Swing
,,,Certify
,,,Chain Reaction
,,,Challedon
,,,Challenge Me
,,,Challenger
http://commons.wikimedia.org/wiki/Special:FilePath/Chamant%20%28horse%29.jpg,,,Chamant
http://commons.wikimedia.org/wiki/Special:FilePath/Champion%2C%20Derby%20winner.jpg,,,Champion
,,,Champs Elysees
,,,Chamrousse
http://commons.wikimedia.org/wiki/Special:FilePath/Chance%20Play.jpg,,,Chance Play
,,,Chance Shot
,,,Chandler
,,,Changeover
http://commons.wikimedia.org/wiki/Special:FilePath/Chant%201894.jpg,,,Chant
,,,Chanteur
,,,Chapeau d'Espagne
,,,Charger Bar
,,,Charismatic
,,,Charity
,,,Charlie Boy
,,,Charlotte
,,,Charlotte West
,,,Charlottesville
,,,Charlottown
,,,Chateaugay
http://commons.wikimedia.org/wiki/Special:FilePath/Chatham%201928.jpg,,,Chatham
,,,Chelokee
,,,Cherimoya
,,,Cherokee Run
,,,Cherry Lake
http://commons.wikimedia.org/wiki/Special:FilePath/Cherry%20Lass.jpg,,,Cherry Lass
http://commons.wikimedia.org/wiki/Special:FilePath/Chester%201874.jpg,,,Chester
,,,Chester House
,,,Chic
,,,Chicado V
,,,Chicks Beduino
,,,Chief's Crown
,,,Chief Bearhart
http://commons.wikimedia.org/wiki/Special:FilePath/Chief%20Singer.jpg,,,Chief Singer
,,,Chilukki
,,,Chinook Pass
,,,Choisir
http://commons.wikimedia.org/wiki/Special:FilePath/Chokin%20at%20Gawler%201992.jpg,,,Chokin
,,,Chop Chop
,,,Chris Evert
,,,Christian Cullen
,,,Christmas Past
,,,Cicada
http://commons.wikimedia.org/wiki/Special:FilePath/Cicero%20%28horse%29.jpg,,,Cicero
http://commons.wikimedia.org/wiki/Special:FilePath/Monument%20to%20Grant.JPG,,,Cincinnati
,,,Circular Quay
,,,Clabber
,,,Classic Cliche
,,,Classy 'n Smart
,,,Clem
,,,Cleopatra
,,,Closing Argument
,,,Cloudy's Knight
,,,Clyde Van Dusen
,,,Coaltown
,,,Coastal
http://commons.wikimedia.org/wiki/Special:FilePath/Cobweb%20%28horse%29.jpg,,,Cobweb
,,,Cockney Rebel
,,,Cocoa Beach
,,,Codex
http://commons.wikimedia.org/wiki/Special:FilePath/Colin%20%281905%29.jpg,,,Colin
http://commons.wikimedia.org/wiki/Special:FilePath/Collection%20%28horse%29.JPG,,,Collection
,,,Collier Bay
,,,Collier Hill
,,,Colombo
,,,Colonel Freckles
,,,Colonel Holloway
,,,Colonel John
,,,Colonial Affair
,,,Colorado
,,,Colorado King
,,,Colstar
,,,Colt by Fidget
,,,Comedy of Errors
,,,Comely
http://commons.wikimedia.org/wiki/Special:FilePath/Comic%20Court%20%28AUS%29.jpg,,,Comic Court
,,,Commanche Run
,,,Commanche Court
,,,Commander in Chief
,,,Commando
,,,Commendable
,,,Commentator
http://commons.wikimedia.org/wiki/Special:FilePath/Common%20%28horse%29.jpg,,,Common
http://commons.wikimedia.org/wiki/Special:FilePath/Comply%20or%20Die.jpg,,,Comply or Die
,,,Concern
http://commons.wikimedia.org/wiki/Special:FilePath/Conduit%20Breeders%20Cup.jpg,,,Conduit
,,,Congaree
,,,Congreve
,,,Coniston Bluebird
,,,Connaught Bridge
,,,Conniver
,,,Conquistador Cielo
,,,Continent
,,,Convenience
,,,Conveyance
,,,Cool Dawn
,,,Cool Ground
,,,Cool Reception
,,,Corbiere
,,,Coretta
,,,Corinne
,,,Corinthian
,,,Coronach
,,,Coronado's Quest
http://commons.wikimedia.org/wiki/Special:FilePath/Coronation%20Derby%20winner.jpg,,,Coronation
,,,Corporate Report
,,,Corrida
,,,Cosmic Bomb
http://commons.wikimedia.org/wiki/Special:FilePath/Cossack%2C%20Derby%20winner.jpg,,,Cossack
http://commons.wikimedia.org/wiki/Special:FilePath/Cotherstone%202.jpg,,,Cotherstone
,,,Cottage Rake
,,,Count Ricardo
,,,Count Turf
,,,Counterpoint
,,,Country Classic
,,,Country Star
,,,Courageous Comet
http://commons.wikimedia.org/wiki/Special:FilePath/Court%20Martial%20%28GB%29.jpg,,,Court Martial
